icd10,icd10_label,valid_fy2025,valid_fy2026,cc_age_split,cc_sex_split,cc,second_cc,third_cc
C240,Malignant neoplasm of extrahepatic bile duct,Y,Y,,,9,,
C241,Malignant neoplasm of ampulla of Vater,Y,Y,,,9,,
C248,Malignant neoplasm of overlapping sites of biliary tract,Y,Y,,,9,,
C249,"Malignant neoplasm of biliary tract, unspecified",Y,Y,,,9,,
C250,Malignant neoplasm of head of pancreas,Y,Y,,,9,,
C251,Malignant neoplasm of body of pancreas,Y,Y,,,9,,
C252,Malignant neoplasm of tail of pancreas,Y,Y,,,9,,
C253,Malignant neoplasm of pancreatic duct,Y,Y,,,9,,
C254,Malignant neoplasm of endocrine pancreas,Y,Y,,,9,,
C257,Malignant neoplasm of other parts of pancreas,Y,Y,,,9,,
C258,Malignant neoplasm of overlapping sites of pancreas,Y,Y,,,9,,
C259,"Malignant neoplasm of pancreas, unspecified",Y,Y,,,9,,
C260,"Malignant neoplasm of intestinal tract, part unspecified",Y,Y,,,11,,
C261,Malignant neoplasm of spleen,Y,Y,,,11,,
C269,Malignant neoplasm of ill-defined sites within the digestive system,Y,Y,,,11,,
C300,Malignant neoplasm of nasal cavity,Y,Y,,,11,,
C301,Malignant neoplasm of middle ear,Y,Y,,,11,,
C310,Malignant neoplasm of maxillary sinus,Y,Y,,,11,,
C311,Malignant neoplasm of ethmoidal sinus,Y,Y,,,11,,
C312,Malignant neoplasm of frontal sinus,Y,Y,,,11,,
C313,Malignant neoplasm of sphenoid sinus,Y,Y,,,11,,
C318,Malignant neoplasm of overlapping sites of accessory sinuses,Y,Y,,,11,,
C319,"Malignant neoplasm of accessory sinus, unspecified",Y,Y,,,11,,
C320,Malignant neoplasm of glottis,Y,Y,,,11,,
C321,Malignant neoplasm of supraglottis,Y,Y,,,11,,
C322,Malignant neoplasm of subglottis,Y,Y,,,11,,
C323,Malignant neoplasm of laryngeal cartilage,Y,Y,,,11,,
C328,Malignant neoplasm of overlapping sites of larynx,Y,Y,,,11,,
C329,"Malignant neoplasm of larynx, unspecified",Y,Y,,,11,,
C33,Malignant neoplasm of trachea,Y,Y,,,9,,
C3400,Malignant neoplasm of unspecified main bronchus,Y,Y,,,9,,
C3401,Malignant neoplasm of right main bronchus,Y,Y,,,9,,
C3402,Malignant neoplasm of left main bronchus,Y,Y,,,9,,
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",Y,Y,,,9,,
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",Y,Y,,,9,,
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",Y,Y,,,9,,
C342,"Malignant neoplasm of middle lobe, bronchus or lung",Y,Y,,,9,,
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",Y,Y,,,9,,
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",Y,Y,,,9,,
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",Y,Y,,,9,,
C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,Y,Y,,,9,,
C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,Y,Y,,,9,,
C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,Y,Y,,,9,,
C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Y,Y,,,9,,
C3491,Malignant neoplasm of unspecified part of right bronchus or lung,Y,Y,,,9,,
C3492,Malignant neoplasm of unspecified part of left bronchus or lung,Y,Y,,,9,,
C37,Malignant neoplasm of thymus,Y,Y,,,11,,
C380,Malignant neoplasm of heart,Y,Y,,,10,,
C381,Malignant neoplasm of anterior mediastinum,Y,Y,,,11,,
C382,Malignant neoplasm of posterior mediastinum,Y,Y,,,11,,
C383,"Malignant neoplasm of mediastinum, part unspecified",Y,Y,,,11,,
C384,Malignant neoplasm of pleura,Y,Y,,,9,,
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",Y,Y,,,11,,
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",Y,Y,,,11,,
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",Y,Y,,,11,,
C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,Y,Y,,,10,,
C4001,Malignant neoplasm of scapula and long bones of right upper limb,Y,Y,,,10,,
C4002,Malignant neoplasm of scapula and long bones of left upper limb,Y,Y,,,10,,
C4010,Malignant neoplasm of short bones of unspecified upper limb,Y,Y,,,10,,
C4011,Malignant neoplasm of short bones of right upper limb,Y,Y,,,10,,
C4012,Malignant neoplasm of short bones of left upper limb,Y,Y,,,10,,
C4020,Malignant neoplasm of long bones of unspecified lower limb,Y,Y,,,10,,
C4021,Malignant neoplasm of long bones of right lower limb,Y,Y,,,10,,
C4022,Malignant neoplasm of long bones of left lower limb,Y,Y,,,10,,
C4030,Malignant neoplasm of short bones of unspecified lower limb,Y,Y,,,10,,
C4031,Malignant neoplasm of short bones of right lower limb,Y,Y,,,10,,
C4032,Malignant neoplasm of short bones of left lower limb,Y,Y,,,10,,
C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,Y,Y,,,10,,
C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,Y,Y,,,10,,
