model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,bronze,diagnosis,HCC023,Protein-Calorie Malnutrition,10.450
adult,catastrophic,diagnosis,HCC023,Protein-Calorie Malnutrition,10.442
adult,platinum,diagnosis,HCC026,Mucopolysaccharidosis,21.504
adult,gold,diagnosis,HCC026,Mucopolysaccharidosis,21.326
adult,silver,diagnosis,HCC026,Mucopolysaccharidosis,21.297
adult,bronze,diagnosis,HCC026,Mucopolysaccharidosis,21.231
adult,catastrophic,diagnosis,HCC026,Mucopolysaccharidosis,21.230
adult,platinum,diagnosis,HCC027,Lipidoses and Glycogenosis,21.504
adult,gold,diagnosis,HCC027,Lipidoses and Glycogenosis,21.326
adult,silver,diagnosis,HCC027,Lipidoses and Glycogenosis,21.297
adult,bronze,diagnosis,HCC027,Lipidoses and Glycogenosis,21.231
adult,catastrophic,diagnosis,HCC027,Lipidoses and Glycogenosis,21.230
adult,platinum,diagnosis,HCC029,"Amyloidosis, Porphyria, and Other Metabolic Disorders",6.052
adult,gold,diagnosis,HCC029,"Amyloidosis, Porphyria, and Other Metabolic Disorders",5.952
adult,silver,diagnosis,HCC029,"Amyloidosis, Porphyria, and Other Metabolic Disorders",5.913
adult,bronze,diagnosis,HCC029,"Amyloidosis, Porphyria, and Other Metabolic Disorders",5.847
adult,catastrophic,diagnosis,HCC029,"Amyloidosis, Porphyria, and Other Metabolic Disorders",5.839
adult,platinum,diagnosis,HCC030,"Adrenal, Pituitary, and Other Significant Endocrine Disorders",1.275
adult,gold,diagnosis,HCC030,"Adrenal, Pituitary, and Other Significant Endocrine Disorders",1.202
adult,silver,diagnosis,HCC030,"Adrenal, Pituitary, and Other Significant Endocrine Disorders",1.151
adult,bronze,diagnosis,HCC030,"Adrenal, Pituitary, and Other Significant Endocrine Disorders",1.078
adult,catastrophic,diagnosis,HCC030,"Adrenal, Pituitary, and Other Significant Endocrine Disorders",1.064
adult,platinum,diagnosis,HCC034,Liver Transplant Status/Complications,5.773
adult,gold,diagnosis,HCC034,Liver Transplant Status/Complications,5.835
adult,silver,diagnosis,HCC034,Liver Transplant Status/Complications,5.893
adult,bronze,diagnosis,HCC034,Liver Transplant Status/Complications,5.974
adult,catastrophic,diagnosis,HCC034,Liver Transplant Status/Complications,5.987
adult,platinum,diagnosis,HCC035_1,"Acute Liver Failure/Disease, Including Neonatal Hepatitis",6.999
adult,gold,diagnosis,HCC035_1,"Acute Liver Failure/Disease, Including Neonatal Hepatitis",6.814
adult,silver,diagnosis,HCC035_1,"Acute Liver Failure/Disease, Including Neonatal Hepatitis",6.775
adult,bronze,diagnosis,HCC035_1,"Acute Liver Failure/Disease, Including Neonatal Hepatitis",6.698
adult,catastrophic,diagnosis,HCC035_1,"Acute Liver Failure/Disease, Including Neonatal Hepatitis",6.699
adult,platinum,diagnosis,HCC035_2,Chronic Liver Failure/End-Stage Liver Disorders,2.216
adult,gold,diagnosis,HCC035_2,Chronic Liver Failure/End-Stage Liver Disorders,2.054
