icd10_code,v28_hcc
C8174,HCC21
C8175,HCC21
C8176,HCC21
C8177,HCC21
C8178,HCC21
C8179,HCC21
C817A,HCC21
C8190,HCC21
C8191,HCC21
C8192,HCC21
C8193,HCC21
C8194,HCC21
C8195,HCC21
C8196,HCC21
C8197,HCC21
C8198,HCC21
C8199,HCC21
C819A,HCC21
C8200,HCC21
C8201,HCC21
C8202,HCC21
C8203,HCC21
C8204,HCC21
C8205,HCC21
C8206,HCC21
C8207,HCC21
C8208,HCC21
C8209,HCC21
C820A,HCC21
C8210,HCC21
C8211,HCC21
C8212,HCC21
C8213,HCC21
C8214,HCC21
C8215,HCC21
C8216,HCC21
C8217,HCC21
C8218,HCC21
C8219,HCC21
C821A,HCC21
C8220,HCC21
C8221,HCC21
C8222,HCC21
C8223,HCC21
C8224,HCC21
C8225,HCC21
C8226,HCC21
C8227,HCC21
C8228,HCC21
C8229,HCC21
C822A,HCC21
C8230,HCC21
C8231,HCC21
C8232,HCC21
C8233,HCC21
C8234,HCC21
C8235,HCC21
C8236,HCC21
C8237,HCC21
C8238,HCC21
C8239,HCC21
C823A,HCC21
C8240,HCC21
C8241,HCC21
C8242,HCC21
C8243,HCC21
C8244,HCC21
C8245,HCC21
C8246,HCC21
C8247,HCC21
C8248,HCC21
C8249,HCC21
C824A,HCC21
C8250,HCC21
C8251,HCC21
C8252,HCC21
C8253,HCC21
C8254,HCC21
C8255,HCC21
C8256,HCC21
C8257,HCC21
C8258,HCC21
C8259,HCC21
C825A,HCC21
C8260,HCC21
C8261,HCC21
C8262,HCC21
C8263,HCC21
C8264,HCC21
C8265,HCC21
C8266,HCC21
C8267,HCC21
C8268,HCC21
C8269,HCC21
C826A,HCC21
C8280,HCC21
C8281,HCC21
C8282,HCC21
C8283,HCC21
C8284,HCC21
C8285,HCC21
C8286,HCC21
C8287,HCC21
C8288,HCC21
C8289,HCC21
C828A,HCC21
C8290,HCC21
C8291,HCC21
C8292,HCC21
C8293,HCC21
C8294,HCC21
C8295,HCC21
C8296,HCC21
C8297,HCC21
C8298,HCC21
C8299,HCC21
C829A,HCC21
C8300,HCC21
C8301,HCC21
C8302,HCC21
C8303,HCC21
C8304,HCC21
C8305,HCC21
C8306,HCC21
C8307,HCC21
C8308,HCC21
C8309,HCC21
C830A,HCC21
C8310,HCC20
C8311,HCC20
C8312,HCC20
C8313,HCC20
C8314,HCC20
C8315,HCC20
C8316,HCC20
C8317,HCC20
C8318,HCC20
C8319,HCC20
C831A,HCC20
C8330,HCC20
C8331,HCC20
C8332,HCC20
C8333,HCC20
C8334,HCC20
C8335,HCC20
C8336,HCC20
C8337,HCC20
C8338,HCC20
C83390,HCC20
C83398,HCC20
C833A,HCC20
C8350,HCC20
C8351,HCC20
C8352,HCC20
C8353,HCC20
C8354,HCC20
C8355,HCC20
C8356,HCC20
C8357,HCC20
C8358,HCC20
C8359,HCC20
C835A,HCC20
C8370,HCC20
C8371,HCC20
C8372,HCC20
C8373,HCC20
C8374,HCC20
C8375,HCC20
C8376,HCC20
C8377,HCC20
C8378,HCC20
C8379,HCC20
C837A,HCC20
C8380,HCC21
C8381,HCC21
C8382,HCC21
C8383,HCC21
C8384,HCC21
C8385,HCC21
C8386,HCC21
C8387,HCC21
C8388,HCC21
C8389,HCC21
C838A,HCC21
C8390,HCC21
C8391,HCC21
C8392,HCC21
C8393,HCC21
C8394,HCC21
C8395,HCC21
C8396,HCC21
C8397,HCC21
C8398,HCC21
C8399,HCC21
C839A,HCC21
C8400,HCC20
C8401,HCC20
C8402,HCC20
C8403,HCC20
C8404,HCC20
C8405,HCC20
C8406,HCC20
C8407,HCC20
C8408,HCC20
C8409,HCC20
C840A,HCC20
C8410,HCC17
C8411,HCC17
C8412,HCC17
C8413,HCC17
C8414,HCC17
C8415,HCC17
C8416,HCC17
C8417,HCC17
C8418,HCC17
C8419,HCC17
C841A,HCC17
C8440,HCC19
C8441,HCC19
C8442,HCC19
C8443,HCC19
C8444,HCC19
C8445,HCC19
C8446,HCC19
C8447,HCC19
C8448,HCC19
C8449,HCC19
C844A,HCC19
C8460,HCC20
C8461,HCC20
C8462,HCC20
C8463,HCC20
C8464,HCC20
C8465,HCC20
C8466,HCC20
C8467,HCC20
C8468,HCC20
C8469,HCC20
C846A,HCC20
C8470,HCC19
C8471,HCC19
C8472,HCC19
C8473,HCC19
C8474,HCC19
C8475,HCC19
C8476,HCC19
C8477,HCC19
C8478,HCC19
C8479,HCC19
C847A,HCC19
C847B,HCC19
C8490,HCC20
C8491,HCC20
C8492,HCC20
C8493,HCC20
C8494,HCC20
C8495,HCC20
C8496,HCC20
C8497,HCC20
C8498,HCC20
C8499,HCC20
C849A,HCC20
C84A0,HCC20
C84A1,HCC20
C84A2,HCC20
C84A3,HCC20
C84A4,HCC20
C84A5,HCC20
C84A6,HCC20
C84A7,HCC20
C84A8,HCC20
C84A9,HCC20
C84AA,HCC20
C84Z0,HCC20
C84Z1,HCC20
C84Z2,HCC20
C84Z3,HCC20
C84Z4,HCC20
C84Z5,HCC20
C84Z6,HCC20
C84Z7,HCC20
C84Z8,HCC20
C84Z9,HCC20
C84ZA,HCC20
C8510,HCC21
C8511,HCC21
C8512,HCC21
C8513,HCC21
C8514,HCC21
C8515,HCC21
C8516,HCC21
C8517,HCC21
C8518,HCC21
C8519,HCC21
C851A,HCC21
C8520,HCC21
C8521,HCC21
C8522,HCC21
C8523,HCC21
C8524,HCC21
C8525,HCC21
C8526,HCC21
C8527,HCC21
C8528,HCC21
C8529,HCC21
C852A,HCC21
C8580,HCC21
C8581,HCC21
C8582,HCC21
C8583,HCC21
C8584,HCC21
C8585,HCC21
C8586,HCC21
C8587,HCC21
C8588,HCC21
C8589,HCC21
C858A,HCC21
C8590,HCC21
C8591,HCC21
C8592,HCC21
C8593,HCC21
C8594,HCC21
C8595,HCC21
C8596,HCC21
C8597,HCC21
C8598,HCC21
C8599,HCC21
C859A,HCC21
C8600,HCC20
C8601,HCC20
C8610,HCC20
C8611,HCC20
C8620,HCC20
C8621,HCC20
C8630,HCC19
C8631,HCC19
C8640,HCC19
C8641,HCC19
C8650,HCC19
C8651,HCC19
C8660,HCC20
C8661,HCC20
C8800,HCC21
C8801,HCC21
C8820,HCC21
C8821,HCC21
C8830,HCC21
C8831,HCC21
C8840,HCC21
C8841,HCC21
C8880,HCC21
C8881,HCC21
C8890,HCC21
C8891,HCC21
C9000,HCC19
C9001,HCC19
C9002,HCC19
C9010,HCC19
C9011,HCC19
C9012,HCC19
C9020,HCC19
C9021,HCC19
C9022,HCC19
C9030,HCC19
C9031,HCC19
C9032,HCC19
C9100,HCC18
C9100,HCC18
C9101,HCC18
C9101,HCC18
C9102,HCC18
C9102,HCC18
C9110,HCC22
C9111,HCC22
C9112,HCC22
C9130,HCC19
C9131,HCC19
C9132,HCC19
C9140,HCC22
C9141,HCC22
C9142,HCC22
C9150,HCC19
C9151,HCC19
C9152,HCC19
C9160,HCC19
C9161,HCC19
C9162,HCC19
C9190,HCC22
C9191,HCC22
C9192,HCC22
C91A0,HCC20
C91A1,HCC20
C91A2,HCC20
C91Z0,HCC22
C91Z1,HCC22
C91Z2,HCC22
C9200,HCC17
C9201,HCC17
C9202,HCC17
C9210,HCC22
C9211,HCC22
C9212,HCC22
C9220,HCC20
C9221,HCC20
C9222,HCC20
C9230,HCC17
C9231,HCC17
C9232,HCC17
C9240,HCC22
C9241,HCC22
C9242,HCC22
C9250,HCC17
C9251,HCC17
C9252,HCC17
C9260,HCC17
C9261,HCC17
C9262,HCC17
C9290,HCC20
C9291,HCC20
C9292,HCC20
C92A0,HCC17
C92A1,HCC17
C92A2,HCC17
C92Z0,HCC20
C92Z1,HCC20
C92Z2,HCC20
C9300,HCC17
C9301,HCC17
C9302,HCC17
C9310,HCC20
C9311,HCC20
C9312,HCC20
C9330,HCC20
C9331,HCC20
C9332,HCC20
C9390,HCC20
C9391,HCC20
C9392,HCC20
C93Z0,HCC20
C93Z1,HCC20
C93Z2,HCC20
C9400,HCC17
C9401,HCC17
C9402,HCC17
