segment,factor_type,factor_key,coefficient
INS,hcc,HCC198,0.226
CNA,hcc,HCC199,0.615
CPA,hcc,HCC199,0.474
CFA,hcc,HCC199,0.634
CND,hcc,HCC199,0.517
CPD,hcc,HCC199,0.354
CFD,hcc,HCC199,0.504
INS,hcc,HCC199,0.219
CNA,hcc,HCC200,0.279
CPA,hcc,HCC200,0.05
CFA,hcc,HCC200,0.165
CND,hcc,HCC200,0.208
CPD,hcc,HCC200,0.428
CFD,hcc,HCC200,0.281
INS,hcc,HCC200,0
CNA,hcc,HCC201,0.245
CPA,hcc,HCC201,0.245
CFA,hcc,HCC201,0.233
CND,hcc,HCC201,0.196
CPD,hcc,HCC201,0.202
CFD,hcc,HCC201,0.17
INS,hcc,HCC201,0.131
CNA,hcc,HCC202,0.543
CPA,hcc,HCC202,0.549
CFA,hcc,HCC202,0.721
CND,hcc,HCC202,0.238
CPD,hcc,HCC202,0.309
CFD,hcc,HCC202,0.279
INS,hcc,HCC202,0.097
CNA,hcc,HCC211,0.879
CPA,hcc,HCC211,1.022
CFA,hcc,HCC211,1.981
CND,hcc,HCC211,0.878
CPD,hcc,HCC211,0.59
CFD,hcc,HCC211,1.418
INS,hcc,HCC211,1.57
CNA,hcc,HCC212,0.37
CPA,hcc,HCC212,0.409
CFA,hcc,HCC212,0.573
CND,hcc,HCC212,0.51
CPD,hcc,HCC212,0.493
CFD,hcc,HCC212,0.662
INS,hcc,HCC212,0.258
CNA,hcc,HCC213,0.37
CPA,hcc,HCC213,0.409
CFA,hcc,HCC213,0.573
CND,hcc,HCC213,0.51
CPD,hcc,HCC213,0.493
CFD,hcc,HCC213,0.662
INS,hcc,HCC213,0.258
CNA,hcc,HCC221,1.053
CPA,hcc,HCC221,0.88
CFA,hcc,HCC221,1.412
CND,hcc,HCC221,0.999
CPD,hcc,HCC221,1.371
CFD,hcc,HCC221,1.781
INS,hcc,HCC221,0.84
CNA,hcc,HCC222,2.505
CPA,hcc,HCC222,3.009
CFA,hcc,HCC222,2.927
CND,hcc,HCC222,5.77
CPD,hcc,HCC222,6.106
CFD,hcc,HCC222,6.612
INS,hcc,HCC222,0.826
CNA,hcc,HCC223,2.505
CPA,hcc,HCC223,3.009
CFA,hcc,HCC223,2.927
CND,hcc,HCC223,5.77
CPD,hcc,HCC223,6.106
CFD,hcc,HCC223,6.612
INS,hcc,HCC223,0.826
CNA,hcc,HCC224,0.36
CPA,hcc,HCC224,0.311
CFA,hcc,HCC224,0.406
CND,hcc,HCC224,0.442
CPD,hcc,HCC224,0.411
CFD,hcc,HCC224,0.537
INS,hcc,HCC224,0.217
CNA,hcc,HCC225,0.36
CPA,hcc,HCC225,0.311
CFA,hcc,HCC225,0.406
CND,hcc,HCC225,0.442
CPD,hcc,HCC225,0.411
CFD,hcc,HCC225,0.537
INS,hcc,HCC225,0.217
CNA,hcc,HCC226,0.36
CPA,hcc,HCC226,0.311
CFA,hcc,HCC226,0.406
CND,hcc,HCC226,0.442
CPD,hcc,HCC226,0.411
CFD,hcc,HCC226,0.537
INS,hcc,HCC226,0.217
CNA,hcc,HCC227,0.189
CPA,hcc,HCC227,0.145
CFA,hcc,HCC227,0.173
CND,hcc,HCC227,0.2
CPD,hcc,HCC227,0.186
CFD,hcc,HCC227,0.198
INS,hcc,HCC227,0.189
CNA,hcc,HCC228,0.252
CPA,hcc,HCC228,0.324
CFA,hcc,HCC228,0.493
CND,hcc,HCC228,0.254
CPD,hcc,HCC228,0.407
CFD,hcc,HCC228,0.517
INS,hcc,HCC228,0.31
CNA,hcc,HCC229,0.24
CPA,hcc,HCC229,0.278
CFA,hcc,HCC229,0.325
CND,hcc,HCC229,0.254
CPD,hcc,HCC229,0.315
CFD,hcc,HCC229,0.458
INS,hcc,HCC229,0.31
CNA,hcc,HCC238,0.299
CPA,hcc,HCC238,0.293
CFA,hcc,HCC238,0.407
CND,hcc,HCC238,0.296
CPD,hcc,HCC238,0.261
CFD,hcc,HCC238,0.304
INS,hcc,HCC238,0.245
CNA,hcc,HCC248,0.239
CPA,hcc,HCC248,0.313
CFA,hcc,HCC248,0.377
CND,hcc,HCC248,0.18
CPD,hcc,HCC248,0.183
CFD,hcc,HCC248,0.332
INS,hcc,HCC248,0.081
CNA,hcc,HCC249,0.239
CPA,hcc,HCC249,0.299
CFA,hcc,HCC249,0.377
CND,hcc,HCC249,0.18
CPD,hcc,HCC249,0.172
CFD,hcc,HCC249,0.277
INS,hcc,HCC249,0.081
CNA,hcc,HCC253,0.387
CPA,hcc,HCC253,0.437
CFA,hcc,HCC253,0.437
CND,hcc,HCC253,0.32
CPD,hcc,HCC253,0.403
CFD,hcc,HCC253,0.39
